年月,地區,信用卡產業別,教育程度類別,信用卡交易筆數,信用卡交易金額[新臺幣]
201409,臺灣,行,博士,127629,157735650
201409,臺灣,行,碩士,1211392,1359517594
201409,臺灣,行,大學,4323856,4434704404
201409,臺灣,行,專科,2245840,2380863719
201409,臺灣,行,高中高職,3151219,3581518381
201409,臺灣,行,其他,2767297,3148148797
201409,臺灣,文教康樂,博士,37809,302593133
201409,臺灣,文教康樂,碩士,466788,2749283414
201409,臺灣,文教康樂,大學,1680652,8610859732
201409,臺灣,文教康樂,專科,574580,3596343800
201409,臺灣,文教康樂,高中高職,637623,4079551227
201409,臺灣,文教康樂,其他,739921,4855946769
201409,臺灣,百貨,博士,47860,152285037
201409,臺灣,百貨,碩士,564035,1708567421
201409,臺灣,百貨,大學,2136631,6530483104
201409,臺灣,百貨,專科,884574,2774107859
201409,臺灣,百貨,高中高職,970098,3242646682
201409,臺灣,百貨,其他,1161191,3879605282
201409,臺灣,其他,博士,113962,466013921
201409,臺灣,其他,碩士,1362929,4526779284
201409,臺灣,其他,大學,5601275,18120324132
201409,臺灣,其他,專科,2581638,8986797911
201409,臺灣,其他,高中高職,3670885,13202085584
201409,臺灣,其他,其他,3007209,10899876136
201410,臺灣,食,博士,141492,174727523
201410,臺灣,食,碩士,1330490,1677043746
201410,臺灣,食,大學,4498328,5480650082
201410,臺灣,食,專科,2235304,2573832838
201410,臺灣,食,高中高職,2679691,3214947087
201410,臺灣,食,其他,2792960,3535048823
201410,臺灣,衣,博士,9599,28080474
201410,臺灣,衣,碩士,148809,416247840
201410,臺灣,衣,大學,685849,1870907121
201410,臺灣,衣,專科,296211,837830046
201410,臺灣,衣,高中高職,389911,1137874903
201410,臺灣,衣,其他,366180,1132248561
201410,臺灣,住,博士,21495,90756422
201410,臺灣,住,碩士,223315,1009078611
201410,臺灣,住,大學,726110,3345727529
201410,臺灣,住,專科,313238,1436213622
201410,臺灣,住,高中高職,356881,1655126413
201410,臺灣,住,其他,383954,1941345183
201410,臺灣,行,博士,134636,162053580
201410,臺灣,行,碩士,1269635,1381109705
201410,臺灣,行,大學,4491114,4443986147
201410,臺灣,行,專科,2312065,2363155418
201410,臺灣,行,高中高職,3224547,3532097359
201410,臺灣,行,其他,2851612,3119561810
201410,臺灣,文教康樂,博士,36437,262496288
201410,臺灣,文教康樂,碩士,473498,2503404968
201410,臺灣,文教康樂,大學,1709587,7813479968
201410,臺灣,文教康樂,專科,550840,2996288449
201410,臺灣,文教康樂,高中高職,623195,3450905961
201410,臺灣,文教康樂,其他,730254,4403033653
201410,臺灣,百貨,博士,60818,208626104
201410,臺灣,百貨,碩士,745518,2497802344
201410,臺灣,百貨,大學,2870824,9446508341
201410,臺灣,百貨,專科,1208012,4049771853
201410,臺灣,百貨,高中高職,1340045,4813272322
201410,臺灣,百貨,其他,1587902,5527527646
201410,臺灣,其他,博士,115606,446726807
201410,臺灣,其他,碩士,1345085,4572714015
201410,臺灣,其他,大學,5519143,18006397637
201410,臺灣,其他,專科,2590336,8643438869
201410,臺灣,其他,高中高職,3610205,12501019080
201410,臺灣,其他,其他,3031278,10650365647
201411,臺灣,食,博士,142661,185689821
201411,臺灣,食,碩士,1344017,1748661752
201411,臺灣,食,大學,4507215,5689729994
201411,臺灣,食,專科,2212426,2661945437
201411,臺灣,食,高中高職,2646163,3305061020
201411,臺灣,食,其他,2772251,3704185439
201411,臺灣,衣,博士,9660,32671515
201411,臺灣,衣,碩士,149262,452082325
201411,臺灣,衣,大學,670684,1937687844
201411,臺灣,衣,專科,288607,864915059
201411,臺灣,衣,高中高職,382007,1191328840
201411,臺灣,衣,其他,355600,1165265977
201411,臺灣,住,博士,22825,108905048
201411,臺灣,住,碩士,242058,1207791348
201411,臺灣,住,大學,782583,3871818424
201411,臺灣,住,專科,333586,1657822329
